TYPE,CONTEXT,MOD,X,FUNC,METH_TO
func,ext,xmlwriter,php_xmlwriter,xmlwriter_start_dtd_entity,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_end_dtd_entity,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_write_dtd_entity,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_output_memory,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_flush,
func,ext,sysvsem,sysvsem,sem_get,
func,ext,sysvsem,sysvsem,sem_acquire,
func,ext,sysvsem,sysvsem,sem_release,
func,ext,sysvsem,sysvsem,sem_remove,
func,ext,dba,dba,dba_open,
func,ext,dba,dba,dba_popen,
func,ext,dba,dba,dba_close,
func,ext,dba,dba,dba_delete,
func,ext,dba,dba,dba_exists,
func,ext,dba,dba,dba_fetch,
func,ext,dba,dba,dba_insert,
func,ext,dba,dba,dba_replace,
func,ext,dba,dba,dba_firstkey,
func,ext,dba,dba,dba_nextkey,
func,ext,dba,dba,dba_optimize,
func,ext,dba,dba,dba_sync,
func,ext,dba,dba,dba_handlers,
func,ext,dba,dba,dba_list,
func,ext,dba,dba,dba_key_split,
func,ext,ldap,ldap,ldap_connect,
func,ext,ldap,ldap,ldap_bind,
func,ext,ldap,ldap,ldap_bind_ext,
func,ext,ldap,ldap,ldap_sasl_bind,
func,ext,ldap,ldap,ldap_unbind,
func,ext,ldap,ldap,ldap_read,
func,ext,ldap,ldap,ldap_list,
func,ext,ldap,ldap,ldap_search,
func,ext,ldap,ldap,ldap_free_result,
func,ext,ldap,ldap,ldap_count_entries,
func,ext,ldap,ldap,ldap_first_entry,
func,ext,ldap,ldap,ldap_next_entry,
func,ext,ldap,ldap,ldap_get_entries,
func,ext,ldap,ldap,ldap_first_attribute,
func,ext,ldap,ldap,ldap_next_attribute,
func,ext,ldap,ldap,ldap_get_attributes,
func,ext,ldap,ldap,ldap_get_values_len,
func,ext,ldap,ldap,ldap_get_dn,
func,ext,ldap,ldap,ldap_explode_dn,
func,ext,ldap,ldap,ldap_dn2ufn,
func,ext,ldap,ldap,ldap_add,
func,ext,ldap,ldap,ldap_add_ext,
func,ext,ldap,ldap,ldap_delete,
func,ext,ldap,ldap,ldap_delete_ext,
func,ext,ldap,ldap,ldap_modify_batch,
func,ext,ldap,ldap,ldap_mod_add,
func,ext,ldap,ldap,ldap_mod_add_ext,
func,ext,ldap,ldap,ldap_mod_replace,
func,ext,ldap,ldap,ldap_mod_replace_ext,
func,ext,ldap,ldap,ldap_mod_del,
func,ext,ldap,ldap,ldap_mod_del_ext,
